column,line,amount,month
ASSET,1,1451721464,2002-01-01
ASSET,2,7658940058,2002-01-01
ASSET,3,4793378976,2002-01-01
ASSET,4,31098141,2002-01-01
ASSET,5,1627452631,2002-01-01
ASSET,6,142595317,2002-01-01
ASSET,7,4191280058,2002-01-01
ASSET,8,11070457699,2002-01-01
ASSET,9,1416814874,2002-01-01
ASSET,10,1485267261,2002-01-01
LIABILITY,1,7490878132,2002-01-01
LIABILITY,2,1274894518,2002-01-01
LIABILITY,3,2122979037,2002-01-01
LIABILITY,4,622371607,2002-01-01
LIABILITY,5,755382358,2002-01-01
LIABILITY,6,1576640561,2002-01-01
LIABILITY,7,1675425750,2002-01-01
LIABILITY,8,147500677,2002-01-01
LIABILITY,9,13782437701,2002-01-01
LIABILITY,10,1655647297,2002-01-01
LIABILITY,11,188942410,2002-01-01
LIABILITY,12,391586909,2002-01-01
LIABILITY,13,2184319522,2002-01-01
ASSET,3,4437008826,2002-02-01
ASSET,5,330004500,2002-02-01
ASSET,6,147191085,2002-02-01
ASSET,7,4258602148,2002-02-01
ASSET,8,11062465640,2002-02-01
ASSET,9,1416814874,2002-02-01
ASSET,10,1485527442,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
LIABILITY,NA,NA,2002-02-01
ASSET,1,1685266228,2002-03-01
ASSET,2,7211502084,2002-03-01
ASSET,3,4447372720,2002-03-01
ASSET,4,38842713,2002-03-01
ASSET,5,1530589155,2002-03-01
ASSET,6,169237342,2002-03-01
ASSET,7,4273172174,2002-03-01
ASSET,8,11111200094,2002-03-01
ASSET,9,1416814874,2002-03-01
ASSET,10,1556831448,2002-03-01
LIABILITY,1,6641967889,2002-03-01
LIABILITY,2,3206494155,2002-03-01
LIABILITY,3,2206158447,2002-03-01
LIABILITY,4,710890131,2002-03-01
LIABILITY,5,792856244,2002-03-01
LIABILITY,6,397723599,2002-03-01
LIABILITY,7,1671157501,2002-03-01
LIABILITY,8,148036314,2002-03-01
LIABILITY,9,13141975499,2002-03-01
LIABILITY,10,1603955674,2002-03-01
LIABILITY,11,188016441,2002-03-01
LIABILITY,12,548012332,2002-03-01
LIABILITY,13,2183584606,2002-03-01
ASSET,1,6700817940,2002-04-01
ASSET,2,1153434936,2002-04-01
ASSET,3,0,2002-04-01
ASSET,4,2182293650,2002-04-01
ASSET,5,90933327,2002-04-01
ASSET,5,847830070,2002-04-01
ASSET,7,1671157501,2002-04-01
ASSET,6,1671157501,2002-04-01
ASSET,7,4317301976,2002-04-01
ASSET,8,148036314,2002-04-01
ASSET,8,11051018439,2002-04-01
ASSET,9,15025480654,2002-04-01
ASSET,9,0,2002-04-01
ASSET,12,550854895,2002-04-01
ASSET,10,1409399465,2002-04-01
ASSET,13,2183584606,2002-04-01
ASSET,1,1685713547,2002-05-01
ASSET,2,7534787147,2002-05-01
ASSET,3,4369607048,2002-05-01
ASSET,4,10560423,2002-05-01
ASSET,5,866840499,2002-05-01
ASSET,6,199214468,2002-05-01
ASSET,7,4352747246,2002-05-01
ASSET,8,11047207325,2002-05-01
ASSET,9,1416814874,2002-05-01
ASSET,10,1319921559,2002-05-01
LIABILITY,1,6939979199,2002-05-01
LIABILITY,2,1900098592,2002-05-01
LIABILITY,3,2319330722,2002-05-01
LIABILITY,4,393372517,2002-05-01
LIABILITY,5,782463217,2002-05-01
LIABILITY,6,395822251,2002-05-01
LIABILITY,7,1671157501,2002-05-01
LIABILITY,8,148036314,2002-05-01
LIABILITY,9,14277551059,2002-05-01
LIABILITY,10,1051008755,2002-05-01
LIABILITY,11,181922313,2002-05-01
LIABILITY,12,552989582,2002-05-01
LIABILITY,13,2189682114,2002-05-01
ASSET,1,1550669253,2002-06-01
ASSET,2,6903006474,2002-06-01
ASSET,3,4149148138,2002-06-01
ASSET,4,16048669,2002-06-01
ASSET,5,775829435,2002-06-01
ASSET,6,137018407,2002-06-01
ASSET,7,4479373998,2002-06-01
ASSET,8,11033453694,2002-06-01
ASSET,9,1416814874,2002-06-01
ASSET,10,2009658572,2002-06-01
LIABILITY,1,7178072195,2002-06-01
LIABILITY,2,1342883898,2002-06-01
LIABILITY,3,2019158976,2002-06-01
LIABILITY,4,383386550,2002-06-01
LIABILITY,5,790106182,2002-06-01
LIABILITY,6,335298009,2002-06-01
LIABILITY,7,1623406599,2002-06-01
LIABILITY,8,138077077,2002-06-01
LIABILITY,9,15048516469,2002-06-01
LIABILITY,10,1079471147,2002-06-01
LIABILITY,11,181920775,2002-06-01
LIABILITY,12,158719169,2002-06-01
LIABILITY,13,2192004468,2002-06-01
ASSET,1,1550604487,2002-07-01
ASSET,2,7198300043,2002-07-01
ASSET,3,4032646230,2002-07-01
ASSET,4,45027244,2002-07-01
ASSET,5,1536499670,2002-07-01
ASSET,6,158085988,2002-07-01
ASSET,7,4470864858,2002-07-01
ASSET,8,10996339566,2002-07-01
ASSET,9,1416814874,2002-07-01
ASSET,10,1712023516,2002-07-01
LIABILITY,1,7465388572,2002-07-01
LIABILITY,2,1521036467,2002-07-01
LIABILITY,3,60039238,2002-07-01
