accounting_period,column,line,item,amount
2002-01-31,ASSET,1,Gold and gold receivables,1451721464
2002-01-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7658940058
2002-01-31,ASSET,3,Claims on euro area residents denominated in foreign currency,4793378976
2002-01-31,ASSET,4,Claims on non euro area residents denominated in euro,31098141
2002-01-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,1627452631
2002-01-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,142595317
2002-01-31,ASSET,7,Securities of euro area residents denominated in euro,4191280058
2002-01-31,ASSET,8,General government debt denominated in euro,11070457699
2002-01-31,ASSET,9,Intra-Eurosystem claims,1416814874
2002-01-31,ASSET,11,Other assets,1485267261
2002-01-31,LIABILITY,1,Banknotes in circulation,7490878132
2002-01-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1274894518
2002-01-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,2122979037
2002-01-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,622371607
2002-01-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,755382358
2002-01-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,1576640561
2002-01-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1675425750
2002-01-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,147500677
2002-01-31,LIABILITY,9,Intra-Eurosystem liabilities,13782437701
2002-01-31,LIABILITY,11,Other liabilities,1655647297
2002-01-31,LIABILITY,12,Provisions,188942410
2002-01-31,LIABILITY,13,Revaluation accounts,391586909
2002-01-31,LIABILITY,14,Capital and reserves,2184319522
2002-02-28,ASSET,1,Gold and gold receivables,1451704489
2002-02-28,ASSET,2,Claims on non-euro area residents denominated in foreign currency,8362341477
2002-02-28,ASSET,3,Claims on euro area residents denominated in foreign currency,4437008826
2002-02-28,ASSET,4,Claims on non euro area residents denominated in euro,15324845
2002-02-28,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,330004500
2002-02-28,ASSET,6,Other claims on euro area credit institutions denominated in euro,147191085
2002-02-28,ASSET,7,Securities of euro area residents denominated in euro,4258602148
2002-02-28,ASSET,8,General government debt denominated in euro,11062465640
2002-02-28,ASSET,9,Intra-Eurosystem claims,1416814874
2002-02-28,ASSET,11,Other assets,1485527442
2002-02-28,LIABILITY,1,Banknotes in circulation,6576171537
2002-02-28,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1273541248
2002-02-28,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,2092833858
2002-02-28,LIABILITY,4,Liabilities to other euro area residents denominated in euro,635761153
2002-02-28,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,748024936
2002-02-28,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,1639203147
2002-02-28,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1675425750
2002-02-28,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,147500677
2002-02-28,LIABILITY,9,Intra-Eurosystem liabilities,13559736321
2002-02-28,LIABILITY,11,Other liabilities,1853968073
2002-02-28,LIABILITY,12,Provisions,188944310
2002-02-28,LIABILITY,13,Revaluation accounts,391555848
2002-02-28,LIABILITY,14,Capital and reserves,2184318468
2002-03-31,ASSET,1,Gold and gold receivables,1685266228
2002-03-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7211502084
2002-03-31,ASSET,3,Claims on euro area residents denominated in foreign currency,4447372720
2002-03-31,ASSET,4,Claims on non euro area residents denominated in euro,38842713
2002-03-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,1530589155
2002-03-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,169237342
2002-03-31,ASSET,7,Securities of euro area residents denominated in euro,4273172174
2002-03-31,ASSET,8,General government debt denominated in euro,11111200094
2002-03-31,ASSET,9,Intra-Eurosystem claims,1416814874
2002-03-31,ASSET,11,Other assets,1556831448
2002-03-31,LIABILITY,1,Banknotes in circulation,6641967889
2002-03-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3206494155
2002-03-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,2206158447
2002-03-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,710890131
2002-03-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,792856244
2002-03-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,397723599
2002-03-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1671157501
2002-03-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,148036314
2002-03-31,LIABILITY,9,Intra-Eurosystem liabilities,13141975499
2002-03-31,LIABILITY,11,Other liabilities,1603955674
2002-03-31,LIABILITY,12,Provisions,188016441
2002-03-31,LIABILITY,13,Revaluation accounts,548012332
2002-03-31,LIABILITY,14,Capital and reserves,2183584606
2002-04-30,ASSET,1,Gold and gold receivables,1685572360
2002-04-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7190890718
2002-04-30,ASSET,3,Claims on euro area residents denominated in foreign currency,4550548961
2002-04-30,ASSET,4,Claims on non euro area residents denominated in euro,30442388
2002-04-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,847830070
2002-04-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,160558166
2002-04-30,ASSET,7,Securities of euro area residents denominated in euro,4317301976
2002-04-30,ASSET,8,General government debt denominated in euro,11051018439
2002-04-30,ASSET,9,Intra-Eurosystem claims,1416814874
2002-04-30,ASSET,11,Other assets,1409399465
2002-04-30,LIABILITY,1,Banknotes in circulation,6700817940
2002-04-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1153434936
2002-04-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,2182293650
2002-04-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,553411833
2002-04-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,798411828
2002-04-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,391802773
2002-04-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1671157501
2002-04-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,148036314
2002-04-30,LIABILITY,9,Intra-Eurosystem liabilities,15025480654
2002-04-30,LIABILITY,11,Other liabilities,1113072335
2002-04-30,LIABILITY,12,Provisions,188018152
2002-04-30,LIABILITY,13,Revaluation accounts,550854895
2002-04-30,LIABILITY,14,Capital and reserves,2183584606
2002-05-31,ASSET,1,Gold and gold receivables,1685713547
2002-05-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7534787147
2002-05-31,ASSET,3,Claims on euro area residents denominated in foreign currency,4369607048
2002-05-31,ASSET,4,Claims on non euro area residents denominated in euro,10560423
2002-05-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,866840499
2002-05-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,199214468
2002-05-31,ASSET,7,Securities of euro area residents denominated in euro,4352747246
2002-05-31,ASSET,8,General government debt denominated in euro,11047207325
2002-05-31,ASSET,9,Intra-Eurosystem claims,1416814874
2002-05-31,ASSET,11,Other assets,1319921559
2002-05-31,LIABILITY,1,Banknotes in circulation,6939979199
2002-05-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1900098592
2002-05-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,2319330722
2002-05-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,393372517
2002-05-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,782463217
2002-05-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,395822251
2002-05-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1671157501
2002-05-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,148036314
2002-05-31,LIABILITY,9,Intra-Eurosystem liabilities,14277551059
2002-05-31,LIABILITY,11,Other liabilities,1051008755
2002-05-31,LIABILITY,12,Provisions,181922313
2002-05-31,LIABILITY,13,Revaluation accounts,552989582
2002-05-31,LIABILITY,14,Capital and reserves,2189682114
2002-06-30,ASSET,1,Gold and gold receivables,1550669253
2002-06-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,6903006474
2002-06-30,ASSET,3,Claims on euro area residents denominated in foreign currency,4149148138
2002-06-30,ASSET,4,Claims on non euro area residents denominated in euro,16048669
2002-06-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,775829435
2002-06-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,137018407
