column,line,subline,item,amount,month
ASSET,1,NA,Gold and gold receivables,3145906304,2009-08-01
LIABILITY,1,NA,Banknotes in circulation,19878612600,2009-08-01
ASSET,2,1,Receivables from the IMF,859562817,2009-08-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),4451076172,2009-08-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,130078348,2009-08-01
LIABILITY,2,2,Deposit facility,1978500000,2009-08-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,328924024,2009-08-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2009-08-01
ASSET,4,1,Balances with banks security investments and loans,155305,2009-08-01
LIABILITY,4,1,General government,10574234533,2009-08-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2009-08-01
LIABILITY,4,2,Other liabilities,65434717,2009-08-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,742777488,2009-08-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,72154404,2009-08-01
ASSET,5,1,Main refinancing operations,860000000,2009-08-01
ASSET,5,2,Longer-term refinancing operations,40122900000,2009-08-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,85561691,2009-08-01
LIABILITY,7,1,Deposits and other liabilities,88073680,2009-08-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2009-08-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,780407538,2009-08-01
ASSET,7,1,Securities held for monetary policy purposes,128404152,2009-08-01
ASSET,7,2,Other securities,21820641435,2009-08-01
ASSET,8,NA,General government long term debt denominated in euro,7302872547,2009-08-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2009-08-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0,2009-08-01
ASSET,9,1,Participating interest in the ECB,435391713,2009-08-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),36092985305,2009-08-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2009-08-01
LIABILITY,10,NA,Other liabilities,1064112613,2009-08-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,1085192775,2009-08-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2009-08-01
LIABILITY,11,NA,Provisions,1520640586,2009-08-01
LIABILITY,12,NA,Revaluation accounts,1472638198,2009-08-01
ASSET,10,1,Tangible and intangible fixed assets,806011837,2009-08-01
ASSET,10,2,Other financial assets,29078156,2009-08-01
ASSET,10,3,Sundry,1297336575,2009-08-01
LIABILITY,13,1,Capital,111243362,2009-08-01
LIABILITY,13,2,Ordinary reserve,111243362,2009-08-01
LIABILITY,13,3,Extraordinary reserve,55000000,2009-08-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,510518679,2009-08-01
LIABILITY,13,5,Other special reserves,275033,2009-08-01
LIABILITY,1,NA,Banknotes in circulation,20289789600,2010-01-01
ASSET,2,1,Receivables from the IMF,947530824,2010-01-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),5209143254,2010-01-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,77204045,2010-01-01
LIABILITY,2,2,Deposit facility,1193500000,2010-01-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,349737867,2010-01-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2010-01-01
ASSET,4,1,Balances with banks security investments and loans,176369,2010-01-01
LIABILITY,4,1,General government,1230323035,2010-01-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-01-01
LIABILITY,4,2,Other liabilities,66550174,2010-01-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,720165555,2010-01-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,56280701,2010-01-01
ASSET,5,1,Main refinancing operations,3070000000,2010-01-01
ASSET,5,2,Longer-term refinancing operations,44213700000,2010-01-01
LIABILITY,7,1,Deposits and other liabilities,84505484,2010-01-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-01-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,73910858,2010-01-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,851675401,2010-01-01
ASSET,7,1,Securities held for monetary policy purposes,749236550,2010-01-01
ASSET,7,2,Other securities of euro area residents denominated in euro,18719354300,2010-01-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2010-01-01
ASSET,8,NA,General government long term debt denominated in euro,7294205864,2010-01-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0,2010-01-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),48233493397,2010-01-01
LIABILITY,10,NA,Other liabilities,798020753,2010-01-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-01-01
LIABILITY,11,NA,Provisions,1953008967,2010-01-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-01-01
LIABILITY,12,NA,Revaluation accounts,1916948850,2010-01-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,422175395,2010-01-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-01-01
LIABILITY,13,1,Capital,111243362,2010-01-01
