accounting_period,column,line,subline,item,amount
2002-01-31,ASSET,1,NA,Gold and gold receivables,1451721464
2002-01-31,ASSET,2,1,Receivables from the IMF,448657635
2002-01-31,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",7210282423
2002-01-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4793378976
2002-01-31,ASSET,4,1,"Balances with banks, security investments and loans",31098141
2002-01-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-01-31,ASSET,5,1,Main refinancing operations,1627276990
2002-01-31,ASSET,5,2,Longer-term refinancing operations,0
2002-01-31,ASSET,5,3,Fine-tuning reverse operations,0
2002-01-31,ASSET,5,4,Structural reverse operations,0
2002-01-31,ASSET,5,5,Marginal lending facility,175641
2002-01-31,ASSET,5,6,Credits related to margin calls,0
2002-01-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,142595317
2002-01-31,ASSET,7,NA,Securities of euro area residents denominated in euro,4191280058
2002-01-31,ASSET,8,NA,General government debt denominated in euro,11070457699
2002-01-31,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-01-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-01-31,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-01-31,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-01-31,ASSET,9,5,Other claims within the Eurosystem,0
2002-01-31,ASSET,10,1,Premises and equipment,127170158
2002-01-31,ASSET,10,2,Sundry items,1358097103
2002-01-31,LIABILITY,1,NA,Banknotes in circulation,7490878132
2002-01-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),1272994518
2002-01-31,LIABILITY,2,2,Deposit facility,1900000
2002-01-31,LIABILITY,2,3,Fixed-term deposits,0
2002-01-31,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-01-31,LIABILITY,2,5,Deposits related to margin calls,0
2002-01-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,2122979037
2002-01-31,LIABILITY,4,1,General government,599408274
2002-01-31,LIABILITY,4,2,Other liabilities,22963333
2002-01-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,755382358
2002-01-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,1576640561
2002-01-31,LIABILITY,7,1,"Deposits, balances and other liabilities",1675425750
2002-01-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-01-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,147500677
2002-01-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-01-31,LIABILITY,9,2,Liabilities related to TARGET accounts (net),12609932011
2002-01-31,LIABILITY,9,3,Other liabilities within the Eurosystem,1172505690
2002-01-31,LIABILITY,10,NA,Other liabilities,1655647297
2002-01-31,LIABILITY,11,NA,Provisions,188942410
2002-01-31,LIABILITY,12,NA,Revaluation accounts,391586909
2002-01-31,LIABILITY,13,1,Capital,49844397
2002-01-31,LIABILITY,13,2,Regular reserve,49844397
2002-01-31,LIABILITY,13,3,Special reserves,2073826614
2002-01-31,LIABILITY,13,4,Difference from revaluation of tangible fixed assets (Law 2065/92),10804114
2002-02-28,ASSET,1,NA,Gold and gold receivables,1451704489
2002-02-28,ASSET,2,1,Receivables from the IMF,449626484
2002-02-28,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",7912714993
2002-02-28,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4437008826
2002-02-28,ASSET,4,1,"Balances with banks, security investments and loans",15324845
2002-02-28,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-02-28,ASSET,5,1,Main refinancing operations,330004500
2002-02-28,ASSET,5,2,Longer-term refinancing operations,0
2002-02-28,ASSET,5,3,Fine-tuning reverse operations,0
2002-02-28,ASSET,5,4,Structural reverse operations,0
2002-02-28,ASSET,5,5,Marginal lending facility,0
2002-02-28,ASSET,5,6,Credits related to margin calls,0
2002-02-28,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,147191085
2002-02-28,ASSET,7,NA,Securities of euro area residents denominated in euro,4258602148
2002-02-28,ASSET,8,NA,General government debt denominated in euro,11062465640
2002-02-28,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-02-28,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-02-28,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-02-28,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-02-28,ASSET,9,5,Other claims within the Eurosystem,0
2002-02-28,ASSET,10,1,Premises and equipment,126810841
2002-02-28,ASSET,10,2,Sundry items,1358716601
2002-02-28,LIABILITY,1,NA,Banknotes in circulation,6576171537
2002-02-28,LIABILITY,2,1,Current accounts (covering the minimum reserve system),1272831248
2002-02-28,LIABILITY,2,2,Deposit facility,710000
2002-02-28,LIABILITY,2,3,Fixed-term deposits,0
2002-02-28,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-02-28,LIABILITY,2,5,Deposits related to margin calls,0
